category,name,price,description,images,quantity
home,Electric Standing Desk,7999,Each table leg has a motor that can stably support up to 100KG;The table lifting process is safe and stable : range up to 72cm to 120cm;The user-friendly operation interface can memorize up to three sets of height settings,"Electric Standing Desk 1.jpg,Electric Standing Desk 2.jpg,Electric Standing Desk 3.jpg",9
home,Sofa,9065,"Thickened solid wood material, stronger load-bearing;Widened and thickened,  comfortable sitting;Three modes to switch at will","Sofa 1.jpg, Sofa 2.jpg, Sofa 3.jpg",3
home,Lunch box,1099,Long-lasting heat preservation for 6 hours;Multifunctional double-layer design;Double-layer stainless steel + microwaveable snack box,"lunch box 1.jpg, lunch box 2.jpg, lunch box 3.jpg",11
home,Cabinet,329,"Four cabinet types are available for selection;Magnetic door panel, dustproof and beautiful;Textured wood grain, safe edge finishing, stable and durable","cabinet 1.jpg,cabinet 2.jpg,cabinet 3.jpg",15
home,Tissue box,115,Capacity upgrade. Large-size tissue paper;Large paper towel capacity of 150 pieces;Sealing design. Isolate accidental water ingress,"tissue box 1.jpg,tissue box 2.jpg;tissue box 3.jpg",16
home,Storage box,139,"Steel frame support, stackable;Waterproof nylon material;Environmentally friendly materials, safe to use","storage box 1.jpg,storage box 2.jpg,storage box 3.jpg",20
appliances,Washing machine,6590,"Intelligent Control System;Ultra-narrow design, flexible installation space utilization;Four times of enhanced cleaning, no excess detergent","washing machine 1.jpg,washing machine 2.jpg,washing machine 3.jpg",10
appliances,Fan,999,Low power consumption/low noise/high efficiency;7 blades/soft and comfortable;Wireless remote control/16-hour automatic shut-off,"fan 1.jpg,fan 2.jpg,fan 3.jpg",13
appliances,Vacuum cleaner,1990,Two-in-one high-efficiency suction head can clean various materials;Cyclone dust box is easy to clean;HEPA filters promote a clean home environment,"vacuum cleaner 1.jpg,vacuum cleaner 2.jpg,vacuum cleaner 3.jpg",10
appliances,Oven,14900,"Flagship large capacity, can roast a whole chicken;Reduce oil without losing crispy and delicious taste, healthier;Microwave 11 levels of power + 6 quick menus","oven 1.jpg,oven 2.jpg,oven 3.jpg",5
clothes,Cap,590,A simple design cap,"cap 1.jpg,cap 2.jpg,cap 3.jpg",35
clothes,Shorts,780,Smooth stretch woven fabric;4D stretch elastic fabric;This is a European and American version,"short 1.jpg,short 2.jpg,short 3.jpg",20
clothes,T-shirt,378,Designed for a loose fit;Quick-drying technology;Suitable for many sports,"t-shirt 1.jpg,t-shirt 2.jpg,t-shirt 3.jpg",25
clothes,Dress,689,Small V-neck cut to modify face shape;A-line skirt with horizontal stripes shows layered outfit;Drawstring design perfectly modifies the waistline,"dress 1.jpg,dress 2.jpg,dress 3.jpg",15
food,Chicken breast,98,"The best choice for connoisseurs;Air frying, pan frying, various dishes;Not ready to eat, must be fully heated","chicken breast 1.jpg,chicken breast 2.jpg,chicken breast 3.jpg",50
food,Pizza,540,"Handmade pie crust with rich layers;A variety of flavors, any combination;Freeze and store for easy consumption","pizza 1.jpg,pizza 2.jpg,pizza 3.jpg",40
